MESSAGE_CREATE,GUILD_MEMBER_UPDATE,TYPING_START
9163,8074,5336
9179,8091,5349
9190,8096,5364
9216,8103,5381
9274,8110,5392
9296,8116,5400
9339,8138,5418
9370,8151,5432
9389,8157,5443
9398,8161,5451
9413,8175,5458
9419,8183,5462
9444,8200,5476
9454,8208,5487
9461,8224,5498
9494,8240,5508
9517,8258,5524
9535,8270,5536
9549,8277,5549
9565,8286,5568
9571,8290,5579
9579,8301,5591
9597,8308,5605
9613,8320,5612
9636,8329,5626
9655,8341,5635
9681,8351,5659
9687,8369,5663
9691,8388,5665
9699,8396,5671
9702,8403,5674
9706,8418,5676
9711,8426,5679
9715,8440,5680
9817,8459,5684
9825,8467,5688
9839,8478,5689
9842,8494,5691
9860,8506,5700
9871,8513,5705
9884,8517,5715
9891,8529,5719
9901,8541,5728
9909,8555,5730
9938,8560,5742
9945,8575,5747
9960,8587,5756
9974,8594,5763
9996,8604,5774
10015,8617,5789
10065,8631,5802
10131,8638,5818
10154,8644,5833
10168,8657,5840
10192,8675,5853
10206,8695,5861
10226,8708,5872
10243,8721,5879
10268,8733,5889
10280,8746,5901
10297,8752,5912
10321,8762,5925
10347,8782,5943
10363,8791,5949
10373,8803,5954
10382,8823,5959
10392,8831,5967
10399,8843,5975
10418,8865,5985
10427,8916,5990
10440,8948,5998
10458,8979,6013
10477,8995,6024
10520,9019,6028
10529,9043,6033
10539,9063,6040
10551,9091,6047
10560,9124,6056
10575,9156,6066
10580,9168,6074
10588,9206,6078
10593,9244,6084
10602,9261,6091
10615,9289,6096
10624,9318,6105
10627,9341,6106
10632,9388,6111
10642,9406,6123
10655,9442,6130
10665,9459,6136
10681,9503,6144
10695,9522,6154
10702,9547,6156
10710,9575,6159
10716,9584,6162
10722,9612,6165
10729,9645,6169
10740,9664,6170
10765,9695,6179
10770,9713,6182
10770,9739,6182
10773,9768,6182
10781,9787,6190
10791,9821,6200
10798,9845,6206
10808,9872,6209
10809,9896,6212
10817,9906,6217
10827,9928,6225
10831,9935,6228
10845,9949,6231
10852,9962,6235
10860,9969,6237
10867,9979,6243
10877,9991,6246
10884,10004,6253
10885,10012,6259
10894,10025,6264
10900,10037,6268
10909,10051,6270
10921,10057,6277
10927,10061,6280
10931,10078,6284
10941,10090,6285
10954,10102,6293
10959,10112,6294
10961,10130,6294
10972,10141,6296
10972,10152,6296
10972,10162,6296
10975,10176,6296
10979,10191,6297
10985,10198,6301
10992,10212,6302
10997,10225,6307
11004,10235,6308
11080,10252,6314
11087,10261,6317
11097,10280,6318
11098,10297,6320
11098,10304,6320
11104,10322,6326
11114,10335,6330
11115,10348,6331
11115,10351,6332
11122,10365,6334
11124,10376,6336
11127,10386,6336
11146,10390,6336
11154,10408,6337
11164,10421,6341
11172,10432,6341
11177,10442,6345
11190,10463,6351
11205,10475,6359
11220,10486,6365
11233,10496,6379
11241,10506,6385
11247,10520,6390
11255,10541,6393
11268,10551,6396
11273,10563,6398
11276,10575,6400
11282,10587,6401
11283,10597,6401
11286,10615,6401
11289,10630,6401
11289,10639,6401
11296,10656,6404
11302,10669,6408
11306,10675,6414
11317,10684,6422
11335,10700,6433
11345,10716,6439
11368,10727,6450
11386,10737,6464
11404,10750,6467
11426,10761,6481
11435,10778,6486
11447,10790,6494
11460,10811,6507
11475,10824,6515
11492,10838,6525
11507,10849,6535
11521,10857,6544
11537,10870,6550
11555,10896,6561
11567,10909,6568
11587,10920,6582
11598,10924,6591
11604,10932,6597
11612,10946,6607
11621,10960,6614
11631,10974,6619
11639,10987,6620
11647,11003,6624
11663,11015,6632
11676,11025,6641
11697,11037,6652
11715,11044,6659
11759,11050,6664
11781,11065,6671
11798,11075,6680
11815,11086,6686
11830,11101,6698
11849,11115,6712
11865,11130,6725
11885,11145,6735
11893,11155,6744
11914,11166,6758
11935,11179,6779
11958,11188,6797
11970,11200,6814
12001,11211,6841
12025,11223,6856
12037,11236,6861
12048,11250,6865
12073,11258,6877
12095,11274,6886
12111,11289,6894
12123,11304,6901
12144,11317,6915
12167,11333,6927
12183,11340,6939
12207,11351,6953
12221,11368,6969
12243,11379,6979
12254,11387,6993
12266,11400,7003
12277,11417,7010
12295,11432,7028
12327,11445,7046
12344,11455,7056
12359,11473,7075
12386,11494,7083
12397,11511,7094
12406,11522,7101
12422,11543,7110
12451,11554,7121
12472,11570,7126
12500,11581,7133
12513,11594,7144
12527,11607,7157
12539,11612,7168
12548,11622,7173
12559,11638,7187
12572,11657,7196
12578,11669,7199
12588,11679,7205
12600,11688,7213
12608,11704,7218
12622,11716,7228
12642,11732,7241
12654,11748,7251
12673,11765,7269
12702,11778,7286
12713,11794,7300
12737,11806,7316
12753,11824,7328
12767,11835,7337
12784,11852,7350
12790,11865,7356
12808,11876,7364
12823,11890,7373
12839,11905,7384
12865,11921,7396
12895,11937,7416
12917,11950,7432
12945,11967,7448
12986,11982,7454
13103,11997,7469
13230,12008,7483
13319,12020,7499
13465,12037,7513
13585,12049,7521
13648,12062,7542
13754,12084,7563
13867,12093,7581
13903,12113,7603
14008,12132,7622
14030,12159,7638
14048,12176,7655
14071,12193,7669
14085,12209,7676
14102,12216,7687
14129,12235,7703
14155,12254,7720
14186,12270,7742
14204,12281,7757
14241,12294,7774
14264,12308,7786
14298,12325,7799
14318,12341,7811
14327,12352,7823
14356,12368,7839
14372,12385,7860
14385,12393,7867
14404,12409,7881
14423,12431,7902
14451,12438,7930
14475,12472,7942
14504,12507,7960
14521,12571,7972
14535,12629,7981
14549,12670,7993
14570,12687,8003
14586,12707,8020
14601,12718,8034
14614,12733,8043
14639,12755,8056
14661,12769,8071
14673,12777,8083
14694,12791,8091
14706,12805,8101
14732,12816,8112
14742,12840,8116
14749,12854,8124
14775,12868,8134
14788,12887,8140
14796,12911,8148
14808,12926,8159
14823,12951,8169
14832,12965,8176
14850,12982,8184
14871,12992,8206
14888,13010,8219
14905,13027,8233
14923,13039,8252
14931,13049,8262
14950,13064,8276
14968,13083,8288
14997,13102,8304
15011,13119,8314
15033,13136,8327
15053,13147,8339
15077,13162,8351
15106,13182,8367
15130,13198,8386
15154,13212,8410
15164,13232,8415
15184,13242,8429
15192,13255,8438
15212,13272,8452
15232,13288,8471
15249,13307,8488
15272,13321,8503
15285,13333,8513
15298,13350,8529
15317,13373,8541
15344,13390,8555
15364,13421,8570
15391,13435,8580
15440,13453,8592
15472,13463,8602
15488,13473,8616
15514,13480,8627
15532,13496,8634
15556,13510,8649
15569,13525,8662
15588,13545,8675
15594,13554,8680
15610,13565,8689
15617,13581,8698
15640,13595,8714
15648,13613,8731
15665,13630,8755
15703,13645,8777
15722,13661,8794
15750,13676,8806
15768,13690,8820
15774,13702,8833
15791,13706,8838
15810,13725,8843
15822,13739,8844
15833,13760,8850
15841,13768,8859
15845,13788,8862
15865,13797,8869
15883,13819,8876
15892,13832,8882
15903,13842,8890
15911,13853,8901
15923,13859,8913
15932,13869,8924
15943,13877,8933
15955,13885,8949
15967,13897,8958
15978,13908,8969
15998,13918,8984
16005,13932,8992
16014,13942,8998
16028,13952,9003
16043,13964,9014
16066,13977,9023
16083,13989,9031
16093,14011,9036
16115,14024,9053
16133,14039,9063
16133,14055,9063
16141,14078,9063
16145,14092,9064
16150,14112,9065
16161,14121,9073
16192,14135,9084
16225,14144,9089
16229,14160,9093
16236,14172,9096
16251,14192,9099
16266,14203,9107
16270,14219,9111
16290,14235,9119
16299,14249,9133
16312,14260,9146
16326,14279,9167
16353,14300,9182
16373,14319,9193
16392,14330,9212
16422,14357,9222
16452,14375,9230
16476,14401,9245
16495,14417,9250
16507,14437,9258
16550,14449,9279
16585,14461,9294
16618,14472,9302
16636,14492,9312
16655,14508,9321
16674,14522,9329
16682,14531,9338
16735,14546,9348
16753,14558,9354
16789,14577,9373
